time,open,high,low,close,ema25,ema50,MA200,MA50,MA200,MA50,Volume,RSI,RSI-based MA,Upper Bollinger Band,Histogram,MACD,Signal,EPS Estimate FQ,EPS Estimate FY,Revenue Estimate FQ,Revenue Estimate FY
1707489000,97.579,99.55,96.593,98.564,95.607,93.636,88.708,93.636,88.708,93.636,4554394,62.091,50,,-0.874,-3.821,2.61,1.0,4,10000000000,35000000000
1707748200,97.563,99.533,96.577,98.548,95.592,93.621,88.693,93.621,88.693,93.621,2592221,61.549,50,,-0.812,-4.717,3.358,1.0,4,10000000000,35000000000
1707834600,97.385,99.352,96.401,98.368,95.417,93.45,88.531,93.45,88.531,93.45,4197234,60.686,50,,0.392,-2.337,3.018,1.0,4,10000000000,35000000000
1707921000,97.855,99.832,96.866,98.843,95.878,93.901,88.959,93.901,88.959,93.901,1428771,66.057,50,,-0.939,-4.746,0.414,1.0,4,10000000000,35000000000
1708007400,99.758,101.773,98.75,100.765,97.742,95.727,90.689,95.727,90.689,95.727,2598886,57.459,50,,0.938,2.259,0.276,1.0,4,10000000000,35000000000
1708093800,100.962,103.002,99.942,101.982,98.922,96.883,91.784,96.883,91.784,96.883,4939151,49.832,50,,-0.534,-2.691,-2.812,1.0,4,10000000000,35000000000
1708353000,100.892,102.93,99.873,101.911,98.854,96.815,91.72,96.815,91.72,96.815,2215432,67.06,50,,-0.168,4.163,4.222,1.0,4,10000000000,35000000000
1708439400,99.298,101.304,98.295,100.301,97.292,95.286,90.271,95.286,90.271,95.286,3639697,69.702,50,,0.72,-3.791,-1.673,1.0,4,10000000000,35000000000
1708525800,100.321,102.347,99.307,101.334,98.294,96.267,91.201,96.267,91.201,96.267,3982954,50.032,50,,0.934,0.077,4.102,1.0,4,10000000000,35000000000
1708612200,99.114,101.117,98.113,100.115,97.112,95.11,90.104,95.11,90.104,95.11,2191850,53.503,50,,0.765,3.462,0.053,1.0,4,10000000000,35000000000
1708698600,99.584,101.596,98.578,100.59,97.572,95.56,90.531,95.56,90.531,95.56,1144811,49.209,50,,0.487,-0.957,1.647,1.0,4,10000000000,35000000000
1708957800,99.128,101.13,98.126,100.129,97.125,95.122,90.116,95.122,90.116,95.122,4702446,58.122,50,,0.349,-1.253,-0.61,1.0,4,10000000000,35000000000
1709044200,99.262,101.267,98.259,100.265,97.257,95.251,90.238,95.251,90.238,95.251,4265024,36.548,50,,0.68,-1.295,2.328,1.0,4,10000000000,35000000000
1709130600,99.233,101.238,98.231,100.236,97.229,95.224,90.212,95.224,90.212,95.224,2294066,58.135,50,,0.966,0.932,-1.064,1.0,4,10000000000,35000000000
1709217000,97.959,99.938,96.969,98.948,95.98,94.001,89.053,94.001,89.053,94.001,3106541,39.077,50,,-0.975,-3.005,4.201,1.0,4,10000000000,35000000000
1709303400,98.255,100.24,97.263,99.248,96.27,94.285,89.323,94.285,89.323,94.285,2696406,50.551,50,,0.905,0.778,-0.409,1.0,4,10000000000,35000000000
1709562600,97.402,99.369,96.418,98.385,95.434,93.466,88.547,93.466,88.547,93.466,3298463,54.358,50,,0.459,-1.163,3.569,1.0,4,10000000000,35000000000
1709649000,99.359,101.366,98.355,100.362,97.352,95.344,90.326,95.344,90.326,95.344,4936183,59.62,50,,0.618,0.187,0.614,1.0,4,10000000000,35000000000
1709735400,99.15,101.153,98.148,100.151,97.147,95.144,90.136,95.144,90.136,95.144,1235398,49.244,50,,-0.271,0.544,4.41,1.0,4,10000000000,35000000000
1709821800,98.888,100.886,97.889,99.887,96.891,94.893,89.898,94.893,89.898,94.893,4411443,44.272,50,,-0.308,0.385,1.235,1.0,4,10000000000,35000000000
1709908200,99.454,101.463,98.45,100.459,97.445,95.436,90.413,95.436,90.413,95.436,2921606,53.994,50,,0.609,1.354,0.508,1.0,4,10000000000,35000000000
1710167400,98.22,100.205,97.228,99.212,96.236,94.252,89.291,94.252,89.291,94.252,1384204,61.938,50,,0.594,3.164,-2.447,1.0,4,10000000000,35000000000
1710253800,99.728,101.743,98.721,100.736,97.714,95.699,90.662,95.699,90.662,95.699,3823242,32.818,50,,0.736,-0.47,2.541,1.0,4,10000000000,35000000000
1710340200,98.912,100.91,97.912,99.911,96.913,94.915,89.92,94.915,89.92,94.915,2126765,34.38,50,,0.25,-1.556,-4.305,1.0,4,10000000000,35000000000
1710426600,97.596,99.568,96.611,98.582,95.625,93.653,88.724,93.653,88.724,93.653,3211993,68.078,50,,0.313,1.482,-2.055,1.0,4,10000000000,35000000000
1710513000,98.525,100.515,97.529,99.52,96.534,94.544,89.568,94.544,89.568,94.544,3082445,48.951,50,,-0.953,-1.134,-0.791,1.0,4,10000000000,35000000000
